"year","county_id","county_name","income_group","mean_hh_income","absolute_change","change_rate","change_rate_gap_from_5th_quintile"
2010,"34007",Camden,"5th Quintile",252500,-5882,-0.023,0.000
2010,"34007",Camden,"4th Quintile",125291,-4383,-0.034,0.011
2010,"34007",Camden,"3rd Quintile",81517,-5479,-0.063,0.040
2010,"34007",Camden,"2nd Quintile",46998,-6190,-0.116,0.093
2010,"34007",Camden,"1st Quintile",17531,-2299,-0.116,0.093
2009,"34007",Camden,Top 5 Percent,475162,49954,0.117,-0.063
2009,"34007",Camden,All,87013,537,0.006,0.048
2009,"34007",Camden,"5th Quintile",272441,14059,0.054,0.000
2009,"34007",Camden,"4th Quintile",134109,4435,0.034,0.020
2009,"34007",Camden,"3rd Quintile",87767,771,0.009,0.045
2009,"34007",Camden,"2nd Quintile",51216,-1972,-0.037,0.091
2009,"34007",Camden,"1st Quintile",18540,-1290,-0.065,0.119
2008,"34007",Camden,Top 5 Percent,440436,15228,0.036,-0.024
2008,"34007",Camden,All,86881,405,0.005,0.007
2008,"34007",Camden,"5th Quintile",261470,3088,0.012,0.000
2008,"34007",Camden,"4th Quintile",135042,5368,0.041,-0.029
2008,"34007",Camden,"3rd Quintile",87628,632,0.007,0.005
2008,"34007",Camden,"2nd Quintile",52056,-1132,-0.021,0.033
2008,"34007",Camden,"1st Quintile",18875,-955,-0.048,0.060
2007,"34007",Camden,Top 5 Percent,375231,-49977,-0.118,0.052
2007,"34007",Camden,All,87597,1121,0.013,-0.079
2007,"34007",Camden,"5th Quintile",241326,-17056,-0.066,0.000
2007,"34007",Camden,"4th Quintile",130201,527,0.004,-0.070
2007,"34007",Camden,"3rd Quintile",86960,-36,0.000,-0.066
2007,"34007",Camden,"2nd Quintile",52861,-327,-0.006,-0.060
2007,"34007",Camden,"1st Quintile",19910,80,0.004,-0.070
2006,"34007",Camden,Top 5 Percent,425208,0,0.000,0.000
2006,"34007",Camden,All,86476,0,0.000,0.000
2006,"34007",Camden,"5th Quintile",258382,0,0.000,0.000
2006,"34007",Camden,"4th Quintile",129674,0,0.000,0.000
2006,"34007",Camden,"3rd Quintile",86996,0,0.000,0.000
2006,"34007",Camden,"2nd Quintile",53188,0,0.000,0.000
2006,"34007",Camden,"1st Quintile",19830,0,0.000,0.000
2017,"34007",Camden,Top 5 Percent,462688,37480,0.088,-0.019
2017,"34007",Camden,All,82547,-3929,-0.045,0.114
2017,"34007",Camden,"5th Quintile",276262,17880,0.069,0.000
2017,"34007",Camden,"4th Quintile",130816,1142,0.009,0.060
2017,"34007",Camden,"3rd Quintile",82465,-4531,-0.052,0.121
2017,"34007",Camden,"2nd Quintile",46253,-6935,-0.130,0.199
2017,"34007",Camden,"1st Quintile",16194,-3636,-0.183,0.252
2016,"34007",Camden,Top 5 Percent,471542,46334,0.109,-0.025
2016,"34007",Camden,All,84514,-1962,-0.023,0.107
2016,"34007",Camden,"5th Quintile",280132,21750,0.084,0.000
2016,"34007",Camden,"4th Quintile",132729,3055,0.024,0.060
2016,"34007",Camden,"3rd Quintile",85094,-1902,-0.022,0.106
2016,"34007",Camden,"2nd Quintile",48036,-5152,-0.097,0.181
2016,"34007",Camden,"1st Quintile",16840,-2990,-0.151,0.235
2015,"34007",Camden,Top 5 Percent,434459,9251,0.022,-0.004
2015,"34007",Camden,All,83881,-2595,-0.030,0.048
2015,"34007",Camden,"5th Quintile",263102,4720,0.018,0.000
2015,"34007",Camden,"4th Quintile",133403,3729,0.029,-0.011
2015,"34007",Camden,"3rd Quintile",83484,-3512,-0.040,0.058
