X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8366562.646,4858937.843,4605,3310258N,Bus,33,Northbound,10258,Market St & 11th St,39.951782,-75.158111,Fall 2023,278,117,201,47,130,38
-8360020.51,4871798.841,4606,2615887W,Bus,26,Westbound,15887,Tabor Av & Cheltenham Av,40.04029,-75.099342,Fall 2023,10,20,4,4,2,4
-8366723.168,4858962.675,4607,3310262N,Bus,33,Northbound,10262,Market St & 12th St,39.951953,-75.159553,Fall 2023,258,111,138,60,100,34
-8359715.606,4872132.838,4608,2615885W,Bus,26,Westbound,15885,Tabor Av & Comly St,40.042587,-75.096603,Fall 2023,10,17,2,4,3,2
-8366913.413,4858991.573,4609,3310264N,Bus,33,Northbound,10264,Market St & 13th St,39.952152,-75.161262,Fall 2023,216,123,101,51,78,28
-8359447.215,4872496.655,4610,2615883W,Bus,26,Westbound,15883,Tabor Av & Devereaux Av,40.045089,-75.094192,Fall 2023,6,5,1,6,2,4
-8364571.919,4858492.479,4611,33593N,Bus,33,Northbound,593,Penn's Landing - 1,39.948715,-75.140228,Fall 2023,54,0,50,0,44,0
-8360755.998,4870908.723,4612,2615891W,Bus,26,Westbound,15891,Tabor Av & Foulkrod St,40.034168,-75.105949,Fall 2023,17,44,8,26,4,20
-8364600.751,4858649.16,4613,3330631N,Bus,33,Northbound,30631,Penn's Landing - 2,39.949794,-75.140487,Fall 2023,30,4,29,1,26,1
-8361094.855,4870569.243,4614,2615893W,Bus,26,Westbound,15893,Tabor Av & Garland St,40.031833,-75.108993,Fall 2023,15,12,2,3,1,3
-8367583.557,4864625.211,4615,3314752N,Bus,33,Northbound,14752,York St & 21st St - MBFS,39.990936,-75.167282,Fall 2023,23,35,12,13,5,6
-8360270.2,4871518.217,4616,2615889W,Bus,26,Westbound,15889,Tabor Av & Godfrey Av,40.03836,-75.101585,Fall 2023,27,33,8,5,2,5
-8367686.304,4864642.356,4617,3314754N,Bus,33,Northbound,14754,York St & 22nd St,39.991054,-75.168205,Fall 2023,47,49,40,37,29,28
-8360621.747,4871087.845,4618,2615890W,Bus,26,Westbound,15890,Tabor Av & Harrison St,40.0354,-75.104743,Fall 2023,27,28,1,3,1,4
-8368021.71,4859477.331,4619,3314912S,Bus,33,Southbound,14912,19th St &  & Arch St,39.955497,-75.171218,Fall 2023,49,224,16,73,11,49
-8359208.546,4872828.93,4620,26507W,Bus,26,Westbound,507,Tabor Av & Levick St - FS,40.047374,-75.092048,Fall 2023,10,12,4,5,3,1
-8367695.655,4861434.835,4621,332742S,Bus,33,Southbound,2742,19th St & Brown St,39.968975,-75.168289,Fall 2023,36,21,14,5,19,6
-8361424.36,4870431.128,4622,2615894W,Bus,26,Westbound,15894,Tabor Av & Olney Av,40.030883,-75.111953,Fall 2023,8,7,4,2,2,4
-8367893.47,4860229.758,4623,332743S,Bus,33,Southbound,2743,19th St & Callowhill St,39.960678,-75.170066,Fall 2023,51,44,28,24,16,26
-8359318.084,4872676.969,4624,2615873W,Bus,26,Westbound,15873,Tabor Av & Robbins Av,40.046329,-75.093032,Fall 2023,5,12,2,2,2,2
-8367999.669,4859609.194,4625,3314911S,Bus,33,Southbound,14911,19th St & Cherry St,39.956405,-75.17102,Fall 2023,37,123,28,37,14,28
-8360175.022,4871625.813,4626,2615888W,Bus,26,Westbound,15888,Tabor Av & Sanger St,40.0391,-75.10073,Fall 2023,2,4,0,2,0,1
-8367733.838,4861195.899,4627,332751S,Bus,33,Southbound,2751,19th St & Fairmount Av,39.96733,-75.168632,Fall 2023,78,31,54,22,37,14
-8359867.669,4871965.911,4628,2615886W,Bus,26,Westbound,15886,Tabor Av & Van Kirk St,40.041439,-75.097969,Fall 2023,13,24,4,5,4,8
